air f 4 50  93  93  98  162
aln m 4 49  95  98  97  175
bam m 4 39  63  84  95   95
bag f 3 46  92  96  88  150
bes f 4 45 100  98  96  191
bec f 3 44  98 100  85  175
bej m 3 41  86  86  94  138
bis f 4 50 100 100  99  166
blc m 4 50  95  97  96  162
boc f 4 48  71 100  97  143
brm f 4 45  64  93  93  147
cac f 4 41  92  91  90  150
cot m 4 34  50  86  95  129
crb m 3 20  64  82  63   94
due f 3 33  44  64  89   74
evr m 3 45  99  98  97  152
fra f 3 42  68  51  93  110
gaa m 3 40  97 100  88   75
gid m 4 44  80  99  99  134
glp m 4 48  86  87  96  165
grf m 4 36  83  88  91  154
grt f 3 42  78  98  95  102
hat f 4 48  84  84  97  154
hic f 4 41  87  79  96  108
hot m 4 47  65  97 100  151
jod m 3 50  90  98  98  161
kem m 3 39  76  97  94  107
krc m 3 44  77  93  99  142
lak f 3 48  89 100  87  149
lea m 2 44  77  91  90  135
lls m 3 50  79 100  99  164
mam f 4 44  93  95  96  147
mej m 4 48  96  99  99  149
met m 4 33  97  80  71  153
mis m 3 45  76  89  87  164
ngy m 3 41  33  69  94   76
oaa f 3 47  95  86  98  169
rhd m 3 47  83  97  98  132
roj m 3 43  89  82  93  134
sos m 4 47  71  95  99  141
spg m 4 35  34  90  98  120
stj m 3 39  94  89  98  161
stc m 4 43  96  99  87  138
tad m 2 44  81  94  97  124
tom m 3 20  41  76  92  116
trb m 4 43  88 100  95  176
wac m 3 43  63  84  94  115
wer f 4 49  99  89  99  167
yec m 3 45  95  97  94  140

