2014 YTD Top Tennis Players Summary
name matches wins losses bagels_served bagels_eaten male  
Roger Federer         64 54 10 1 0 1
Marin Cilic           61 45 16 4 2 1
David Ferrer          61 44 17 8 2 1
Fabio Fognini         58 39 19 2 6 1
Tomas Berdych         56 41 15 2 0 1
Roberto Bautista Agut 54 36 18 1 1 1
Feliciano Lopez       54 33 21 0 0 1
Philipp Kohlschreiber 54 33 21 0 0 1
Grigor Dimitrov       53 40 13 0 1 1
Andy Murray           53 38 15 5 0 1
Rafael Nadal          52 44 8  6 0 1
Ernests Gulbis        52 36 16 3 0 1
Kevin Anderson        52 33 19 1 0 1
Tommy Robredo         52 32 20 1 0 1
Ivo Karlovic          52 29 23 0 0 1
Novak Djokovic        51 44 7  6 0 1
Kei Nishikori         50 40 10 2 0 1
Milos Raonic          50 37 13 1 0 1
John Isner            49 33 16 0 0 1
Lukas Rosol           49 28 21 0 1 1
Ana Ivanovic          64 49 15 4 3 0
Carla Suarez Navarro  64 44 20 5 4 0
Angelique Kerber      60 41 19 4 2 0
Agnieszka Radwanska   57 41 16 1 1 0
Simona Halep          55 41 14 1 1 0
Caroline Wozniacki    55 40 15 1 0 0
Sara Errani           55 34 21 6 4 0
Ekaterina Makarova    54 38 16 3 4 0
Jelena Jankovic       54 36 18 5 1 0
Eugenie Bouchard      53 36 17 5 3 0
Serena Williams       51 45 6  6 0 0
Maria Sharapova       51 41 10 8 0 0
Andrea Petkovic       51 34 17 4 1 0
Lucie Safarova        51 32 19 5 0 0
Klara Koukalova       51 28 23 4 2 0
Garbine Muguruza      48 30 18 2 2 0
Dominika Cibulkova    48 29 19 5 2 0
Elina Svitolina       48 28 20 1 2 0
Karolina Pliskova     46 28 18 3 1 0
Shuai Peng            46 28 18 3 2 0
